---Example Data---
NASDAQ 100,Last: 11706.4395,Change:  143.1395
"Date: December 12, 2022 at 8:30 PM EST",Bid: 0,Ask: 0,Size: 0*0,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Mon Dec 12 2022,NDXP221212C08000000,0,0,3605,3803.5,0,0.02,0,0,0,8000.00,NDXP221212P08000000,0.05,0,0,0.05,0,11.1092,0,0,3
Mon Dec 12 2022,NDXP221212C08100000,0,0,3503,3701.5,0,0.02,0,0,0,8100.00,NDXP221212P08100000,0,0,0,0.55,0,12.8935,0,0,0
Mon Dec 12 2022,NDXP221212C08200000,0,0,3406,3604.3,0,0.02,0,0,0,8200.00,NDXP221212P08200000,0,0,0,0.55,0,12.4897,0,0,0
Mon Dec 12 2022,NDXP221212C08300000,0,0,3306,3504.3,0,0.02,0,0,0,8300.00,NDXP221212P08300000,0,0,0,0.55,0,12.0967,0,0,0
Mon Dec 12 2022,NDXP221212C08400000,0,0,3206,3404.3,0,0.02,0,0,0,8400.00,NDXP221212P08400000,0,0,0,0.55,0,11.7021,0,0,0
Mon Dec 12 2022,NDXP221212C08500000,0,0,3104,3302.4,0,0.02,0,0,0,8500.00,NDXP221212P08500000,0,0,0,0.55,0,11.3104,0,0,0
Mon Dec 12 2022,NDXP221212C08600000,0,0,3005,3204,0,0.02,0,0,0,8600.00,NDXP221212P08600000,0,0,0,0.55,0,10.9293,0,0,0
Mon Dec 12 2022,NDXP221212C08700000,0,0,2906,3104.3,0,0.02,0,0,0,8700.00,NDXP221212P08700000,0.4,0,0,0.55,0,10.5483,0,0,2
Mon Dec 12 2022,NDXP221212C08800000,0,0,2804,3002.4,0,0.02,0,0,0,8800.00,NDXP221212P08800000,0,0,0,0.55,0,10.1763,0,0,0
Mon Dec 12 2022,NDXP221212C08900000,0,0,2706,2904.3,0,0.02,0,0,0,8900.00,NDXP221212P08900000,0,0,0,0.55,0,9.798,0,0,0
Mon Dec 12 2022,NDXP221212C09000000,0,0,2604,2802.4,0,0.02,0,0,0,9000.00,NDXP221212P09000000,0.05,0,0,0.05,0,7.8182,0,0,4
Mon Dec 12 2022,NDXP221212C09025000,0,0,2581,2779.3,0,0.02,0,0,0,9025.00,NDXP221212P09025000,0.05,0,0,0.05,0,7.751,0,0,2
Mon Dec 12 2022,NDXP221212C09050000,0,0,2556,2754.3,0,0.02,0,0,0,9050.00,NDXP221212P09050000,0.05,0,0,0.05,0,7.6509,0,0,3
Mon Dec 12 2022,NDXP221212C09075000,0,0,2529,2728.3,0,0.02,0,0,0,9075.00,NDXP221212P09075000,0,0,0,0.55,0,9.1489,0,0,0
Mon Dec 12 2022,NDXP221212C09100000,0,0,2506,2704.3,0,0.02,0,0,0,9100.00,NDXP221212P09100000,0.05,0,0,0.05,0,7.496,0,0,1
Mon Dec 12 2022,NDXP221212C09125000,0,0,2481,2679.3,0,0.02,0,0,0,9125.00,NDXP221212P09125000,0,0,0,0.55,0,8.9732,0,0,0
Mon Dec 12 2022,NDXP221212C09150000,0,0,2454,2652,0,0.02,0,0,0,9150.00,NDXP221212P09150000,0.05,0,0,0.05,0,7.3912,0,0,1
Mon Dec 12 2022,NDXP221212C09175000,0,0,2429,2628.3,0,0.02,0,0,0,9175.00,NDXP221212P09175000,0,0,0,0.55,0,8.7895,0,0,0
